match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-Wembledon,M. Vondrousova,O. Jabeur,0:16:06,1,4,28,0,0,1,2,30,15,1,1,2,13,15,0,0,0,0,0,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:17:09,1,4,29,0,0,1,2,30,30,1,1,2,13,16,0,0,0,0,0,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:17:51,1,4,30,0,0,1,2,30,40,1,1,1,14,16,0,0,0,0,0,0,B,0,0,0,0,,,,,0,1,0,0,0,1,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:18:48,1,4,31,0,0,1,2,40,40,1,2,2,14,17,0,0,0,0,0,0,F,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:19:19,1,4,32,0,0,1,2,40,AD,1,2,1,15,17,0,0,0,0,0,0,B,0,0,0,0,,,,,0,1,0,0,0,1,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:19:57,1,4,33,0,0,1,2,40,40,1,1,2,15,18,0,0,0,0,0,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:20:52,1,4,34,0,0,1,2,40,AD,1,2,1,16,18,0,0,0,0,0,0,F,0,0,0,0,,,,,0,1,0,0,0,1,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:21:14,1,4,35,0,0,1,2,40,40,1,1,2,16,19,0,0,0,0,0,0,F,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:21:49,1,4,36,0,0,1,2,40,AD,1,1,1,17,19,0,0,0,0,0,0,B,0,0,0,0,,,,,0,1,0,0,0,1,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:22:12,1,4,37,0,0,1,2,40,40,1,2,1,18,19,0,0,0,0,1,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
